,0
0,6
1,2
2,1
3,0
4,5
5,0
6,4
7,13
8,0
9,4
10,0
11,0
12,0
13,0
14,203
15,594
16,117
17,111
18,4
19,0
20,236
21,8
22,416
23,2
24,1
25,9
26,13
27,150
28,20
29,217
