,0
0,5
1,9
2,4
3,7
4,0
5,13
6,9
7,18
8,11
9,17
10,6
11,5
12,17
13,39
14,21
15,67
16,88
17,41
18,206
19,50
20,295
21,32
22,93
23,4
24,29
25,8
26,28
27,22
28,22
29,26
30,104
31,64
32,17
33,6
34,10
35,26
36,30
37,10
38,34
39,47
40,73
41,93
42,44
43,11
44,37
45,15
46,59
47,13
48,5
49,17
50,45
51,21
52,17
53,24
54,12
55,11
56,128
57,181
58,95
59,65
60,48
61,27
62,13
63,36
64,11
65,140
66,51
67,51
68,68
69,84
